candidato,intencao_voto_pct,rejeicao_pct,desvio_padrao_pct,indecisos_pct,instituto,data
Lula,45.1,48.2,1.0,0.5,AtlasIntel,2026-02-25
Lula,39.8,0.0,2.2,4.7,Parana Pesquisas,2026-01-29
Lula,40.0,0.0,2.2,5.1,Parana Pesquisas,2026-02-27
Lula,37.5,54.0,2.0,6.4,Quaest,2026-02-11
Lula,39.6,0.0,2.0,8.0,Real Time Big Data,2026-03-03
Flávio Bolsonaro,38.8,46.4,1.0,0.5,AtlasIntel,2026-02-25
Flávio Bolsonaro,33.1,0.0,2.2,4.7,Parana Pesquisas,2026-01-29
Flávio Bolsonaro,35.9,0.0,2.2,5.1,Parana Pesquisas,2026-02-27
Flávio Bolsonaro,31.1,55.0,2.0,6.4,Quaest,2026-02-11
Flávio Bolsonaro,33.0,0.0,2.0,8.0,Real Time Big Data,2026-03-03
Romeu Zema,4.5,36.4,1.0,0.5,AtlasIntel,2026-02-25
Romeu Zema,2.8,0.0,2.2,4.7,Parana Pesquisas,2026-01-29
Romeu Zema,4.0,0.0,2.2,5.1,Parana Pesquisas,2026-02-27
Romeu Zema,4.0,34.0,2.0,6.4,Quaest,2026-02-11
Romeu Zema,3.0,0.0,2.0,8.0,Real Time Big Data,2026-03-03
Outros,9.7,38.6,1.0,0.5,AtlasIntel,2026-02-25
Outros,12.8,0.0,2.2,4.7,Parana Pesquisas,2026-01-29
Outros,7.6,0.0,2.2,5.1,Parana Pesquisas,2026-02-27
Outros,7.4,31.0,2.0,6.4,Quaest,2026-02-11
Outros,18.66,0.0,2.0,8.0,Real Time Big Data,2026-03-03
Brancos/Nulos,3.2,0.0,1.0,0.5,AtlasIntel,2026-02-25
Brancos/Nulos,6.8,0.0,2.2,4.7,Parana Pesquisas,2026-01-29
Brancos/Nulos,7.2,0.0,2.2,5.1,Parana Pesquisas,2026-02-27
Brancos/Nulos,15.1,0.0,2.0,6.4,Quaest,2026-02-11
Brancos/Nulos,7.0,0.0,2.0,8.0,Real Time Big Data,2026-03-03